ID	Split
gdb_66703	Split000
gdb_26191	Split000
gdb_51408	Split000
gdb_61444	Split000
gdb_90638	Split000
gdb_125585	Split000
gdb_57672	Split000
gdb_91667	Split000
gdb_101153	Split000
gdb_36201	Split000
gdb_119687	Split001
gdb_67936	Split000
gdb_38191	Split000
gdb_73567	Split000
gdb_16332	Split001
gdb_92902	Split000
gdb_7199	Split000
gdb_86439	Split000
gdb_43239	Split000
gdb_81861	Split000
gdb_43048	Split000
gdb_52839	Split000
gdb_111973	Split000
gdb_28320	Split000
gdb_111290	Split000
gdb_101892	Split000
gdb_102531	Split001
gdb_79817	Split000
gdb_111120	Split000
gdb_53230	Split000
gdb_6327	Split000
gdb_13724	Split000
gdb_90086	Split000
gdb_44390	Split001
gdb_96731	Split000
gdb_63553	Split000
gdb_121820	Split000
gdb_49719	Split000
gdb_103870	Split000
gdb_578	Split000
gdb_25295	Split000
gdb_87367	Split001
gdb_29662	Split001
gdb_118755	Split000
gdb_25411	Split000
gdb_43044	Split000
gdb_120441	Split000
gdb_68856	Split000
gdb_83624	Split001
gdb_48801	Split001
gdb_52158	Split000
gdb_32998	Split000
gdb_93268	Split001
gdb_36451	Split000
gdb_61102	Split000
gdb_51290	Split000
gdb_35133	Split000
gdb_18813	Split001
gdb_48678	Split000
gdb_115132	Split000
gdb_85470	Split000
gdb_18714	Split001
gdb_55504	Split001
gdb_119301	Split000
gdb_14624	Split000
gdb_28426	Split000
gdb_105610	Split000
gdb_119369	Split000
gdb_28877	Split000
gdb_96278	Split000
gdb_115425	Split000
gdb_132895	Split000
gdb_10928	Split000
gdb_132906	Split000
gdb_112422	Split000
gdb_62989	Split000
gdb_23266	Split000
gdb_14985	Split000
gdb_93764	Split000
gdb_67391	Split000
gdb_24575	Split000
gdb_31019	Split000
gdb_89994	Split001
gdb_116867	Split000
gdb_62314	Split000
gdb_25090	Split000
gdb_5869	Split000
gdb_20389	Split001
gdb_78222	Split000
gdb_102462	Split001
gdb_12273	Split000
gdb_90342	Split000
gdb_12138	Split001
gdb_126082	Split000
gdb_93748	Split000
gdb_25175	Split000
