mol_id	smiles	r2
gdb_66703	O=C1[C@H]2[C@@H]3[N@H+]2[C@@H]2[C@H]1[C@]32O	882.3655
gdb_26191	C[C@@H](O)c1cc(N)c[nH]1	1397.2819
gdb_51408	O=CO[C@@H]1[C@@H]2N[C@H]1C2=O	1213.2519
gdb_61444	CC(=O)C[C@@H](O)[C@H]1CO1	1448.5037
gdb_90638	C[C@H]1N[C@H]2[C@@H]1[C@]2(N)C#N	1226.4068
gdb_125585	Cc1n[nH+]c([NH-])oc1=O	1090.2313
gdb_57672	C#CCC(C)(C)CC=O	1509.1382
gdb_91667	O[C@H]1C[C@@H]2O[C@H]1[C@@]21CN1	987.254
gdb_101153	OC[C@@H](O)C1NCC[NH2+]1	1274.1832
gdb_36201	N#CCC12CC[NH+]1CC2	1190.5198
gdb_119687	CCO[C@@]12C[N@H+]3C[C@@H]1[C@H]32	1318.84
gdb_67936	C[C@]12CC(=O)[C@H]1[NH2+][CH+]N2	1002.9525
gdb_38191	C1[C@H]2C[C@@]3(C2)[C@H]2C[C@@]13C2	917.4075
gdb_73567	C[C@]12CCO[C@H]1[C@H]1C[N@H+]12	976.4408
gdb_16332	C[C@H]1C[C@H]2O[C@@]12CO	932.2652
gdb_92902	C[C@@H]1[C@H](O)CC=C[C@@H]1C	1156.5021
gdb_7199	CCO[C@@H](C)CCO	1483.9115
gdb_86439	O[C@@H]1C=CC=C[C@H](O)C1	1235.773
gdb_43239	O=C1[CH-][C@H]2[C@@H]3[C@@H]4[C@H]2[N@@H+]4[C@H]13	830.6004
gdb_81861	C[C@]12C[C@H]1[C@@H](O)C(=O)N2	1094.4459
gdb_43048	O=C1[C@H]2CO[C@@H]3[C@H]2C[C@H]13	869.6711
gdb_52839	CC#C[C@@]1(C)OC[C@H]1C	1406.7471
gdb_111973	CC[C@H]1C=C[C@@H](C)[C@H]1C	1466.4073
gdb_28320	Cc1cc2n(c1)CCC2	1265.068
gdb_111290	CC[N@H+]1[C@H]2C[C@@]2(O)[C@H]1C	1282.3728
gdb_101892	CC[C@@H](C)CCCC=O	2415.8713
gdb_102531	CCC(CC)N(C)C=O	1436.4891
gdb_79817	C[C@H]1[C@H]2[C@H]3CO[C@]1(C)[C@H]32	994.9647
gdb_111120	CO[C@@H]1[C@@H]2C[C@H]1[C@@H]1N[C@H]21	1108.4359
gdb_53230	CC#C[C@H]1N[C@@H](C)C1=O	1566.1063
gdb_6327	C/N=C(\C)NC(N)=O	1223.1645
