ID	Cluster_ID
gdb_66703	37
gdb_26191	36
gdb_51408	32
gdb_61444	36
gdb_90638	23
gdb_125585	31
gdb_57672	0
gdb_91667	30
gdb_101153	36
gdb_36201	19
gdb_119687	27
gdb_67936	8
gdb_38191	10
gdb_73567	15
gdb_16332	27
gdb_92902	6
gdb_7199	17
gdb_86439	2
gdb_43239	11
gdb_81861	8
gdb_43048	11
gdb_52839	24
gdb_111973	6
gdb_28320	2
gdb_111290	38
gdb_101892	17
gdb_102531	17
gdb_79817	15
gdb_111120	34
gdb_53230	32
gdb_6327	17
gdb_13724	32
gdb_90086	27
gdb_44390	40
gdb_96731	36
gdb_63553	29
gdb_121820	0
gdb_49719	34
gdb_103870	24
gdb_578	32
gdb_25295	36
gdb_87367	23
gdb_29662	31
gdb_118755	24
gdb_25411	32
gdb_43044	11
gdb_120441	13
gdb_68856	27
gdb_83624	31
gdb_48801	27
gdb_52158	32
gdb_32998	32
gdb_93268	23
gdb_36451	33
gdb_61102	0
gdb_51290	39
gdb_35133	13
gdb_18813	31
gdb_48678	19
gdb_115132	6
gdb_85470	6
gdb_18714	31
gdb_55504	3
gdb_119301	22
gdb_14624	3
gdb_28426	31
gdb_105610	24
gdb_119369	19
gdb_28877	6
gdb_96278	2
gdb_115425	13
gdb_132895	31
gdb_10928	39
gdb_132906	31
gdb_112422	6
gdb_62989	38
gdb_23266	39
gdb_14985	13
gdb_93764	31
gdb_67391	23
gdb_24575	25
gdb_31019	6
gdb_89994	4
gdb_116867	17
gdb_62314	7
gdb_25090	2
gdb_5869	0
gdb_20389	21
gdb_78222	37
gdb_102462	17
gdb_12273	6
gdb_90342	2
gdb_12138	8
gdb_126082	2
gdb_93748	34
gdb_25175	6
gdb_132396	2
gdb_102915	17
gdb_101825	17
gdb_80067	18
gdb_24457	21
gdb_131714	6
gdb_92516	31
gdb_118851	24
gdb_117087	3
gdb_31397	32
gdb_100944	17
gdb_105638	24
gdb_31287	6
gdb_99792	0
gdb_56194	16
gdb_115775	6
gdb_7379	17
gdb_19058	40
gdb_36180	27
gdb_96230	6
gdb_117274	17
gdb_30880	6
gdb_82764	11
gdb_52438	3
gdb_64735	24
gdb_33071	32
gdb_132946	6
gdb_12972	23
gdb_114031	39
gdb_101250	36
gdb_53432	6
gdb_85748	31
gdb_117451	17
gdb_121677	17
gdb_11375	32
gdb_130331	31
gdb_38472	4
gdb_43520	6
gdb_15991	33
gdb_18462	34
gdb_52814	27
gdb_33572	19
gdb_122120	17
gdb_108006	27
gdb_23212	30
gdb_71300	8
gdb_11291	32
gdb_130013	2
gdb_13035	6
gdb_31052	6
gdb_71311	38
gdb_30885	6
gdb_22989	6
gdb_21492	16
gdb_11201	32
gdb_89165	24
gdb_48787	27
gdb_94639	6
gdb_56274	16
gdb_78206	37
gdb_52888	24
gdb_53723	17
gdb_31144	34
gdb_74662	2
gdb_96823	39
gdb_1849	2
gdb_126866	32
gdb_97372	36
gdb_9533	24
gdb_87882	30
gdb_123909	21
gdb_3258	25
gdb_56834	36
gdb_65362	27
gdb_24063	32
gdb_6612	29
gdb_130737	6
gdb_404	22
gdb_78977	11
gdb_60920	36
gdb_439	2
gdb_33466	19
gdb_56860	36
gdb_43280	41
gdb_46568	4
gdb_115397	32
gdb_87189	24
gdb_30579	32
gdb_108872	32
gdb_122656	32
gdb_73625	29
gdb_54266	29
gdb_23823	2
gdb_22679	16
gdb_109362	6
gdb_101199	36
gdb_91460	8
gdb_21652	32
gdb_21637	32
gdb_94698	8
gdb_96924	23
gdb_96910	4
gdb_118286	17
gdb_122126	17
gdb_33020	32
gdb_118884	27
gdb_18458	34
gdb_126052	31
gdb_8579	25
gdb_119911	24
gdb_29808	6
gdb_59769	1
gdb_66438	37
gdb_90977	23
gdb_129764	31
gdb_40442	35
gdb_39579	21
gdb_10228	17
gdb_32576	34
gdb_55901	39
gdb_127011	6
gdb_88833	31
gdb_7568	29
gdb_115063	39
gdb_32340	32
gdb_7516	24
gdb_121001	32
gdb_112953	13
gdb_59339	1
gdb_76704	34
gdb_103155	7
gdb_14795	3
gdb_131079	32
gdb_89576	41
gdb_97889	17
gdb_44336	31
gdb_48443	19
